Epoch [169/200], Loss: 0.0033
Epoch [170/200], Loss: 0.0032
Epoch [171/200], Loss: 0.0033
Epoch [172/200], Loss: 0.0032
Epoch [173/200], Loss: 0.0032
Epoch [174/200], Loss: 0.0032
Epoch [175/200], Loss: 0.0032
Epoch [176/200], Loss: 0.0032
Epoch [177/200], Loss: 0.0031
Epoch [178/200], Loss: 0.0032
Epoch [179/200], Loss: 0.0031
Epoch [180/200], Loss: 0.0031
Epoch [181/200], Loss: 0.0031
Epoch [182/200], Loss: 0.0031
Epoch [183/200], Loss: 0.0031
Epoch [184/200], Loss: 0.0031
Epoch [185/200], Loss: 0.0031
Epoch [186/200], Loss: 0.0030
Epoch [187/200], Loss: 0.0030
Epoch [188/200], Loss: 0.0029
Epoch [189/200], Loss: 0.0029
Epoch [190/200], Loss: 0.0029
Epoch [191/200], Loss: 0.0029
Epoch [192/200], Loss: 0.0029
Epoch [193/200], Loss: 0.0029
Epoch [194/200], Loss: 0.0028
Epoch [195/200], Loss: 0.0028
Epoch [196/200], Loss: 0.0028
Epoch [197/200], Loss: 0.0028
Epoch [198/200], Loss: 0.0028
Epoch [199/200], Loss: 0.0028
Epoch [200/200], Loss: 0.0028
